at,score,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,appVersion,review,label,Lable Confidence Score
2025-04-16 18:30:04,4,0,7.2.3,,,7.2.3,please show flight fates from Chandigarh to Chinnai after 15 May 2025 economy seats.,offers issue,0.773255467414856
2025-04-16 04:02:30,1,0,7.2.3,,,7.2.3,"worst app, very very slow, very difficult to book tickets",app slowness,0.6308581233024597
2025-04-16 00:27:56,1,0,7.2.3,,,7.2.3,It's slow to work and the software is heavy. It's hard to work. I hope to improve it soon.,offers issue,0.8370737433433533
2025-04-15 23:15:48,1,0,7.2.3,,,7.2.3,Changing from 5 stars to 1. Terrible customer care service. I had a simple query the person Ritu Das took forever to respond and then closed the chat without resolving.,customer service,0.8592343330383301
2025-04-15 17:21:17,5,0,7.2.3,,,7.2.3,Exciting,offers issue,0.4417470097541809
2025-04-15 13:53:08,1,0,7.2.3,,,7.2.3,"Please fix the app, nothing works. I'm trying to check in for the past 30 mins, the app keeps crashing and logging me out for no reason.",offers issue,0.6024694442749023
2025-04-15 07:22:29,1,0,7.2.3,,,7.2.3,It's one of the worst airlines. My baggage was mishandled and broken.,offers issue,0.8033478260040283
2025-04-14 23:46:56,1,1,7.2.3,,,7.2.3,app is too slow after update to the new UI. e erything take too much time go load,app slowness,0.6655157208442688
2025-04-14 23:39:35,1,0,,,,,app performance has been horrible. login screen gets stuck and does not move forward,app slowness,0.7462968826293945
2025-04-14 23:00:26,1,0,,,,,poor and miserable,offers issue,0.9100432991981506
2025-04-14 20:04:29,1,1,7.2.4,,,7.2.4,"i am gaving you one star because payment option is very poor after try of more than 15 times,one time coming correct web page for write OTP there. please update your payment method.",payment issue,0.6242761015892029
2025-04-14 17:25:05,1,1,7.2.3,,,7.2.3,"I am writing to express my dissatisfaction regarding my recent experience with your airline due to overbooking. I had booked a direct flight, but upon arrival at the airport, I was informed by your staff that the flight was overbooked. After waiting for 6 hours, I was offered a connecting flight, which later was also found to be overbooked.This has been a frustrating experience as I was informed that I would have to wait another 10 hours for a different flight. It is very disappointing 😔",booking problem,0.41812029480934143
2025-04-14 08:22:50,1,1,7.2.3,,,7.2.3,"The app is so pointless. The web checking is almost impossible to do. why keep an app like this, uninstalling it immediately.",offers issue,0.7487558126449585
2025-04-13 23:00:39,1,1,7.2.2,,,7.2.2,"Bad app and Worse customer care support. cannot believe indigo has degraded it to such levels in last 3-4 years. Tried adding 6EPrime to my booking. It was adding 6E Eats instead. Called customer care, they are asking call centre fee for booking even when app is unable to do the job. Had a 40 min call explaining this to an executive. I asked to book without the extra charge as the app is faulty. Now I am on hold for last 10 mins to talk to a SENIOR. thats how monopoly impact customer exp",customer service,0.5120710134506226
2025-04-12 19:33:57,1,0,7.2.3,,,7.2.3,pathetic,offers issue,0.9200659990310669
2025-04-12 18:05:04,5,1,7.2.3,"Mr Manav, you will find these options at 'Add Passenger Details' page while making your fresh reservation. Please ensure the latest version of the mobile application is installed in the handset. Stay safe ~Surjya",2020-11-12 20:09:11,7.2.3,Best Airline of Asia,offers issue,0.6681791543960571
2025-04-12 11:39:37,1,0,7.2.3,,,7.2.3,not able to login as it takes me to signup and later inform the details already exists waste app,app slowness,0.7561212778091431
2025-04-12 09:02:51,1,0,6.0.6,,,6.0.6,Now Armoured Forces option is deleted. Very bad performance.,offers issue,0.7146579623222351
2025-04-12 07:04:26,1,0,7.2.3,,,7.2.3,Very poorly designed app. Off late it is matching with air lines performance too. Indigo flights are barely on time now a days. Serves the worst food in the segment. Today also my flight delayed by 1.5 hrs.. DGCA should look into this,offers issue,0.4833495318889618
2025-04-11 23:01:28,1,0,7.2.3,,,7.2.3,very bad app,offers issue,0.905757486820221
2025-04-11 18:31:33,1,0,,,,,worst n worst services they cancel the flights n dont even provide proper refund,customer service,0.351650208234787
2025-04-11 14:04:30,1,0,7.2.3,,,7.2.3,recent trip unable to download boarding pass during boarding. force to wait for 15min to board. bcoz of app bug. pathetic,offers issue,0.6182235479354858
2025-04-11 12:02:13,2,2,7.2.3,,,7.2.3,"1. App is cluttered 2. It doesn't let you edit your personal information. 3. I have been using this app for ages. suddenly, after their moving to Indigo Blue Chip, my gender changed from female to male! And I had to spend an extra 30 minutes navigating my profile, wrestling its AI chatbot, before by my own wits I called customer care to get it fixed. On time, but otherwise wastes time.",offers issue,0.7638991475105286
2025-04-11 04:22:48,1,1,7.2.2,,,7.2.2,"Indigo fakes discount on their website under FAMILY AND FRIENDS category Irrespective of whether you apply this discount or not, the pricing remains same tried highlighting this issue and they say its a technical glitch, at times they give reasons of T&Cs Such fake discounting to be definitely brought to notice of Ministry of Aviation. Better of booking other airlines who actually do what they say.",offers issue,0.871479332447052
2025-04-10 21:13:16,1,0,,,,,difficult to login .. unable to web checkin,offers issue,0.6016968488693237
2025-04-10 11:38:11,5,0,7.2.3,,,7.2.3,very exciting,offers issue,0.39410024881362915
2025-04-10 07:11:19,1,1,7.2.3,,,7.2.3,"Used to be good, but now is extremely slow and overburdened with messy UI. Applying for a US Visa is less complex than editing your iteneray. Will be staying away.",app slowness,0.58381587266922
2025-04-09 21:19:29,1,3,7.2.3,"Sir, we'd request you to please share your detailed Feedback at bit.ly/3jc8a5m so we may look into it. ~Prabh
",2022-04-13 09:48:27,7.2.3,"It's not user friendly. 1) You can't do web check in at all. 2) If you want to enroll for Bluechip program, app doesn't allow it. 3) You can't check your points forget about using it. kachra app",offers issue,0.5769329071044922
2025-04-09 15:25:23,1,0,7.2.3,,,7.2.3,"never flight with indigo, the worst airlines of india. they don't values your time, my flight wat at 3.10pm but its arrived at 5pm, please don't Go with INDIGO, beter go with airindia",offers issue,0.47608324885368347
2025-04-09 08:59:13,1,0,,,,,"Wrorst service ever, cost us 32,000 instantly and wasted 1 whole day of our trip just because of their lazy & rude staff",offers issue,0.5496358871459961
2025-04-09 03:21:14,1,0,,,,,8/4/2025 App not working in Saudi Arabia for any booking,booking problem,0.5582587122917175
2025-04-09 01:28:39,1,2,7.2.3,,,7.2.3,"Worst application in the history of applications. Slow, pathetic UI and only works at certain instances.",app slowness,0.6899038553237915
2025-04-08 23:35:45,3,0,,,,,this is bad app,offers issue,0.8555002212524414
2025-04-08 22:42:33,2,0,7.2.3,,,7.2.3,The app is so slow.,app slowness,0.7397475838661194
2025-04-08 19:27:55,3,0,7.2.3,,,7.2.3,App and especially the Profile page is super slow. It shows loading but doesn't load even after waiting for almost 10 minutes.,app slowness,0.566374659538269
2025-04-08 13:34:32,2,0,7.2.3,,,7.2.3,lot of glitches in the latest update. unable to login or use it,offers issue,0.7598930597305298
2025-04-07 15:03:04,1,0,7.2.3,,,7.2.3,third class app not use for better experience,offers issue,0.7456332445144653
2025-04-07 12:42:12,1,0,,,,,worst Flight and worst booking experience trying to book through web it's re routing again and again to home not allowing to use 6E rewards...,booking problem,0.710965633392334
2025-04-07 01:19:38,1,0,7.2.3,,,7.2.3,Slowest app I have on my phone. Such a waste,app slowness,0.8524253368377686
2025-04-06 22:36:50,1,3,7.2.3,,,7.2.3,"they seriously need to work on getting it better. app responses very very slow and keeps giving error of something went wrong for almost everything, while those all tasks work fine on browser (need to do in incognito otherwise it keeps sending to app which is not working.",app slowness,0.8262159824371338
2025-04-06 18:52:03,1,1,7.2.3,,,7.2.3,"Worst App, Doesnt function only. whenever you try to open any feature/page on app, it will keep on loading but page won't open. have tried several times and waited for more than 10 mins but it didn't work. at the end have to open website and work.",offers issue,0.7323601841926575
2025-04-06 18:14:11,5,3,7.2.3,,,7.2.3,All my flights via Indigo has been consistently a positive experience even at a time when I almost lost a luggage. So far it's been a good experience,offers issue,0.47973930835723877
2025-04-06 16:22:43,1,2,7.2.3,,,7.2.3,"unable to open and log in . if the app is performing in such a super slow mode during the initial log-in time itself, then its reliability and performance during the time payment will go for a toss",app slowness,0.45470044016838074
2025-04-06 16:21:40,1,0,7.2.3,,,7.2.3,wouldn't let me modify meal. it's wierd.,offers issue,0.754135012626648
2025-04-05 23:57:23,3,0,,,,,"why their is so much price hike 😭 nowadays, what should we students do..... prices are almost double than normal prices 😔",offers issue,0.8123772144317627
2025-04-05 21:21:23,1,1,,,,,Poor syncing with the database of IndiGo servers. Just like indigo flights so does the app service.,offers issue,0.6696436405181885
2025-04-05 19:54:30,1,3,5.1.1,"Mr Pandya, we request you visit https://bit.ly/3LnPvBX to complete the Web Check-In. Let us know via Twitter/ Facebook, in case you face any issues. We look forward to welcoming you onboard. ~Navi",2023-01-28 12:18:38,5.1.1,Logged in and logged out multiple times and yet your customer care team says that account is not verified ! On the top of it now I'm unable to log in at all ! Extremely bad roll out of Bluechip !,customer service,0.6607533097267151
2025-04-05 17:01:44,1,1,,,,,not allowing to login,offers issue,0.5951383709907532
2025-04-05 10:03:13,1,1,7.2.3,,,7.2.3,very slow app. it takes long to move from one tab to another. not sure how you expect people to use it.,app slowness,0.7686387896537781
2025-04-04 19:26:23,2,1,7.2.3,,,7.2.3,"The lag is seriously frustrating. Honestly, the IRCTC app feels faster and more responsive than Indigo’s.",app slowness,0.5552215576171875
2025-04-04 11:14:28,1,1,,,,,"Deceptive Tier 1 Bluchip Benefits and Unresponsive Customer Service. I've earned Indigo's Bluchip Tier 1 membership, supposedly offering 40 6E Prime Passes and 30% off seats, baggage, and Fast Forward. None are honored; I only see 10% off, and can't use my 6E Prime Passes. Customer service hasn't responded to my email. This feels deceptive—Indigo, please fix this and communicate better.",customer service,0.5571010708808899
2025-04-04 04:52:36,1,1,7.2.3,,,7.2.3,forces you to pay for seat selection.,payment issue,0.628940761089325
2025-04-03 16:47:21,2,1,7.2.0,,,7.2.0,poor performance,offers issue,0.9595276117324829
2025-04-03 11:39:49,1,2,7.2.3,,,7.2.3,Worst app. I have used Get logged out easily & after that it doesn't allow you to login till u reinstall the app.,offers issue,0.7923672795295715
2025-04-03 09:29:09,1,1,7.2.3,,,7.2.3,The app is extremely buggy. do not use this. always use the website and always remember to forward the tickets to yourself because it doesn't do this automatically.,offers issue,0.577609658241272
2025-04-02 21:14:24,1,1,6.0.6,,,6.0.6,"disturbing me, can I use this app to take ticket or not",offers issue,0.5164982080459595
2025-04-02 16:09:01,1,2,7.2.3,,,7.2.3,"On the date when it is important to travel, the rates are increased on that date. That is why I have to travel by other airlines which are cheaper. I hate this trend. If this continues for a few days, then I will stop travelling by indigo",offers issue,0.7034547328948975
2025-04-01 14:40:52,5,0,7.2.3,,,7.2.3,"for flight booking, this app is very good",booking problem,0.26724302768707275
2025-04-01 11:07:35,1,3,7.2.3,,,7.2.3,Worst app for Bluechip login. You can never login nor can you sign up. Its been 3 months since I've tried to sign up. there is always some issues and these guys never solve it.,offers issue,0.7902106642723083
2025-04-01 10:34:39,1,2,7.2.3,,,7.2.3,"Creating an account on the phone is painful. SMS does not work for non-Indian numbers, and password creation is buggy when special characters are included.",offers issue,0.5478975772857666
2025-03-31 21:46:47,1,1,7.2.3,,,7.2.3,"Glitching like a cheap app, and always getting signed out",offers issue,0.43960243463516235
2025-03-31 18:22:13,1,1,7.2.3,,,7.2.3,I just booked a flight few minutes ago and the transaction is done too but no booking Id is provided nor any upcoming trips on my trips button in the apps🥺 I need an immediate assistance please The payment was done on the account Indigo by IATA,booking problem,0.3845682442188263
2025-03-31 16:33:29,1,1,7.2.3,,,7.2.3,"This is the worst app I have seen. Lacks so many functionalities, even basic ones do not work. The app logs me out repeatedly and hangs a lot. Fire all the folks in your engineering team, they are good for nothing.",offers issue,0.8088394403457642
2025-03-31 13:00:57,1,1,7.2.0,,,7.2.0,"Very poor, never got sign in one click, profile name can't change even after so much try.",offers issue,0.47731104493141174
2025-03-31 11:46:33,2,1,7.2.3,,,7.2.3,App is unstable and unable to login. it keeps flickering,offers issue,0.6280274987220764
2025-03-31 11:05:53,1,1,7.2.2,,,7.2.2,"No response while downloading anything you have beat your head for like 1 hour, just to download boarding pass",offers issue,0.3816293179988861
2025-03-31 01:28:53,1,1,7.2.3,,,7.2.3,The login screen after entering my number just keeps on erroring and does not let me log in.,offers issue,0.8784754276275635
2025-03-30 22:31:42,1,1,5.0.81,,,5.0.81,Awful experience. Can't login at all.,offers issue,0.7464865446090698
2025-03-30 17:49:37,1,1,5.0.85,,,5.0.85,stupid app can't give minus marks,offers issue,0.5969896912574768
2025-03-30 15:39:54,1,1,,,,,thus this dont download this. app lagging issuses,app slowness,0.9103956818580627
2025-03-29 23:28:57,1,1,,,,,worst app,offers issue,0.8990577459335327
2025-03-29 13:29:26,2,0,7.2.3,,,7.2.3,I can't book more than one seats at a time during web checking in the mobile app. what kind of app is this?,booking problem,0.5122845768928528
2025-03-28 18:30:01,1,1,7.2.3,,,7.2.3,worst app,offers issue,0.8990577459335327
2025-03-28 12:44:45,1,1,7.2.3,,,7.2.3,"Horrible application experience, Still application not working seamlessly. unable to login to book tickets",app slowness,0.4585651159286499
2025-03-28 10:54:13,1,2,7.2.3,,,7.2.3,"Unable to login always mentioned that ""We can't seem to find your account"" admin, resolve this error as early as possible.",offers issue,0.9411269426345825
2025-03-27 20:31:41,1,1,7.2.2,,,7.2.2,business first attitude of customer service team..customer is not valued at all..,customer service,0.7748301029205322
2025-03-27 16:16:18,1,1,,,,,Indigo has downgraded their service standard and not even bothered for customers. worst experience with luggage damaged. request shared over email couple of times to indigo customer care but vague response.,customer service,0.5633140206336975
2025-03-27 15:50:54,1,1,7.2.3,,,7.2.3,worst airline that I have flew in 20 y.. rip off business. inept staffs in Jaffna International airport and ripping customers off.,offers issue,0.6576858758926392
2025-03-27 00:35:45,1,1,,,,,such a terrible and manipulative app. it is not letting me do a web check-in unless i choose a paid seat. why do you have to be so money grubbing?,payment issue,0.6871850490570068
2025-03-26 09:15:56,1,1,,,,,my old app suddenly stopped working and for update it says my device is not compatible with the updated version,offers issue,0.8770208358764648
2025-03-26 08:46:06,3,6,7.2.3,,,7.2.3,"The user interface is aesthetically pleasing; however, it exhibits significant latency. Loading details for each page or transaction takes an excessive amount of time.Certain aspects, such as the flight details showing on the app post-booking from the website, are efficient. It appears that the recent update has resolved some issues; however, the app's performance has become sluggish.",app slowness,0.4969494938850403
2025-03-26 02:34:35,4,0,,,,,cheap price best service airline,customer service,0.9580428600311279
2025-03-25 10:09:01,1,2,7.2.3,,,7.2.3,indigo flight is the worst for international travellers .they damaged My luggage. when I got My luggage at Abu Dhabi airport then I complained to the luggage complaint department.They took a photo of my luggage and contacted indigo They didn't respond more than 30 minutes after they said airport department staff I can't do anything even your luggage damage.the person said to me They can't do any even your luggage damage.then I went out airport after 3 days I mail indigo airlines. worst response,customer service,0.5454426407814026
2025-03-25 05:47:24,1,1,6.0.6,,,6.0.6,this version is not supporting Android 10.,offers issue,0.8811869025230408
2025-03-24 19:12:28,1,1,7.2.3,,,7.2.3,worst flight staff is too rude. never will travel in indigo. very sad to see there behaviour.,offers issue,0.8203718662261963
2025-03-23 19:16:41,2,1,7.2.3,,,7.2.3,On Android phones there is no option to put the membership id,offers issue,0.7537575960159302
2025-03-23 15:39:09,1,1,,,,,"Indigo doesn't issue invoices for the return segment of international flights, even when booked as a return flight from India and in INR. No GST invoice, no non-GST invoice, not even a simple receipt. This makes it totally useless for business travel, as the expense cannot be recorded without documentation.",offers issue,0.5230382084846497
2025-03-23 15:05:21,1,2,7.2.3,,,7.2.3,"You want us to use the digital atform but the app does not work ?It is one of the worst apps , the development team should be sacked.It has performance issues.",offers issue,0.6334419250488281
2025-03-23 15:02:39,1,1,7.2.3,,,7.2.3,"When you are boarding the flight and you need to view the boarding pass the app keeps saying check in closed. I too am aware about check in being closed, the app becomes useless just before your time to board the flight",offers issue,0.8267672061920166
2025-03-23 12:00:25,1,1,,,,,Their Bus service; from Airport to Boarding and after getting off...Overcrowding and No Ac ; this I ve seen every time so adding pls take notice.,offers issue,0.7730683088302612
2025-03-23 02:42:20,1,2,7.2.3,,,7.2.3,very bad app service and customer support. need to better service for customer.,offers issue,0.46690356731414795
2025-03-22 21:59:32,1,2,7.2.3,,,7.2.3,never book with this airline.,offers issue,0.507752001285553
2025-03-22 09:29:50,2,1,7.2.3,,,7.2.3,indigo blue chip otp capture page not working properly.,offers issue,0.5337644815444946
2025-03-22 09:04:21,1,11,7.2.2,,,7.2.2,Now it is very bad app experience. My past trips are deleted. Can not add new trips. Can not understand how to proceed further. Was best but lately worst. reported 5 months back but even today it is bad. present trip also gets deleted and I must use my PNR every time when I need to access my current trip details. can not even see the flight status. looks like developer does not care about reviews and comments.,offers issue,0.7169209718704224
2025-03-21 21:25:07,1,3,7.2.3,,,7.2.3,"Great airline but their app and site are terrible, and support is impossible to deal with. At random times all your flights are removed from your account for no reason. So you need to print all you data to manually place them back using your pnr or spend many hours trying to get support. Has been like this for years, they just don't fix it. Why offer an app if it only exist to engage your customers? It's 2025, how can you be an airline and not have a functioning app? Shape up, guys!",offers issue,0.5141879320144653
2025-03-21 20:19:38,1,2,7.2.3,,,7.2.3,"pathetic app, you can't do a web checkin in this app. rhis is the third time I am facing this issue. more ever if you do it through google, no facility to download boarding pass and hence you have no clue if web check in is completed",offers issue,0.8261353969573975
2025-03-21 05:26:16,1,3,7.2.3,,,7.2.3,"This app sucks... every time you switch apps... you need to do all steps to retrieve your boarding pass, and it takes ages to load.",app slowness,0.6330316662788391
2025-03-21 03:54:54,1,1,,,,,worst experience after i entered my loyalty member id and earn blue chip points there are not going forward my booking after passenger details page seems like its stuck in that very page and not allowing me to take my discounts total scam,booking problem,0.7303338050842285
2025-03-20 23:12:30,1,12,,,,,"It's hard to believe that in this day and age a country's largest airline is utterly incapable of developing and maintaining a reliable mobile app. Problems galore. It's extremely slow. Trips disappear. Frequent ""something went wrong"" errors while trying to make changes or check-in. Horrendous. There are so many complaints about the app but they don't seem to care. They collect a convenience fee for some godforsaken reason but it's nothing but a struggle to use this app.",app slowness,0.6928998231887817
2025-03-20 16:29:30,1,1,7.2.3,,,7.2.3,"worst service, bag handle broken, yet to receive any call for compensation. not able to contact customer care.",customer service,0.3841916620731354
2025-03-20 16:27:52,1,1,7.2.0,,,7.2.0,Refund of pnr OSFWUB Srikara pradhan for cancelled tkt not received till date. kindly coordinate.,offers issue,0.4482974410057068
2025-03-20 12:57:17,5,41,7.2.3,,,7.2.3,"increasing from 1 star to two star as it resolved some issues, now my flights show up after booking. But now the app is super slow! takes forever to load check in page or bluechip dashboard. edit: finally see all key issues fixed",app slowness,0.8293895721435547
2025-03-20 02:07:11,1,1,7.2.3,,,7.2.3,"guys plz work on the app,booked ticket twice and waited for 22min for payment through app, and online just worked fine,high time u guys work on it or remold the app for passengers convenience thanku",payment issue,0.2777493894100189
2025-03-19 15:53:02,5,0,7.2.3,,,7.2.3,good experience,customer service,0.8171809315681458
2025-03-19 05:45:19,5,0,7.2.0,,,7.2.0,most useful,offers issue,0.6294124722480774
2025-03-18 21:26:20,1,1,5.0.34,,,5.0.34,"I don't know who is heading the development of this app. No sense of customer journey, mandatory features, delighting features.",offers issue,0.7478824853897095
2025-03-18 17:35:53,5,0,7.2.0,,,7.2.0,i satisfied with my problem will salove,offers issue,0.591028094291687
2025-03-18 14:28:51,1,2,7.2.3,,,7.2.3,"I changed the rating to 1, I would give zero if possible. The app is horrible right now, it logs me out constantly, things don't load on time and it freezes occasionly.",offers issue,0.5162994861602783
2025-03-18 14:17:32,1,0,7.2.3,,,7.2.3,My baggage which I purchased in China for 6000/- is damaged by the Indigo airline staff Indigo Airline Is offering me 1500/- voucher. This is pathetic. I advise all the citizens of any country not to travel by indigo airlines because they may damage your Baggage and just give the excuse of their sick policy. Request all my friends Brother sisters to take a note of this. Thanks. PNR-C8KRNH 08/032025 - Pune Delhi Delhi Hongkong 14/03/2025- Hongkong Delhi Delhi Pune,offers issue,0.3618077039718628
2025-03-18 11:31:47,1,1,7.2.3,,,7.2.3,"Reviews are all fake, app incapable of checking in. Didn't give me a boarding pass despite multiple attempts.",booking problem,0.514404833316803
2025-03-18 11:04:16,1,0,7.2.2,,,7.2.2,indigo app is pathetic....nothing worse than this app,offers issue,0.8870320916175842
2025-03-18 10:56:09,1,0,7.2.2,,,7.2.2,Keeps on crashing.,offers issue,0.8809009790420532
2025-03-18 06:53:19,1,2,7.2.2,,,7.2.2,"Don't web check-in from this app. Payments get deducted and web check-in ,quite often, doesn't work and shows a completely irrelevant and factually incorrect message. If you book from this app then you are bound to check-in from here and then you are stuck ...",payment issue,0.5250307321548462
2025-03-17 19:49:37,1,1,7.2.0,,,7.2.0,worst experience ever. flight is always delayed. can't able to take connecting flight because of this. totally nonsense,offers issue,0.8772525787353516
2025-03-17 13:30:26,1,1,7.2.3,,,7.2.3,worst application. multiple times tried to create password but failed. saying special character issue.,offers issue,0.6026192307472229
2025-03-17 04:13:32,1,0,,,,,App is i can't download 😭 application is not support,offers issue,0.7043901085853577
2025-03-17 04:07:20,1,0,,,,,Why does it say my device is not compatible for this app. I have a Note 9 Samsung,offers issue,0.9178223013877869
2025-03-17 03:13:30,5,0,7.2.3,,,7.2.3,Good services,customer service,0.8389515280723572
2025-03-17 01:27:44,1,1,7.2.3,,,7.2.3,Issue while. Login and glich while. Adding detials please fix it,booking problem,0.45655572414398193
2025-03-16 18:12:04,1,0,7.2.0,,,7.2.0,This app is useless,offers issue,0.8801969289779663
2025-03-16 15:47:07,1,0,7.2.3,,,7.2.3,Pathetic .Worst app ever used .Horrible experience.,offers issue,0.8884332776069641
2025-03-16 13:50:37,1,0,7.2.3,,,7.2.3,where is my 6E reward points. There is no option to find it.,offers issue,0.5855554342269897
2025-03-16 12:35:25,1,2,7.2.3,,,7.2.3,Worst app.. It just doesn't let me login.. Keeps on sending an error 'Something went wrong. Please try again'. This is persistent since so many days,offers issue,0.7303130030632019
2025-03-16 11:24:07,1,1,7.2.3,,,7.2.3,when i have already registered then you should give an option to login . it keep on saying it is already registered and not letting me in the app.,offers issue,0.7456766963005066
2025-03-16 03:02:24,1,0,,,,,"The IndiGo app is absolutely terrible. It’s slow, unreliable, and full of glitches that make booking, checking in, and managing flights a nightmare. I had constant issues with updating my booking, and even when I could access my flight details, the app kept crashing or freezing. Additionally, the app provided no useful updates on my delayed baggage or any way to easily communicate with customer service. The lack of functionality and poor user experience makes it clear that IndiGo doesn’t care",app slowness,0.44104376435279846
2025-03-15 17:35:34,1,1,7.2.3,,,7.2.3,"Poor user interface, unable to figure out how to remove the automatic seat assigned to proceed for checkin, had to use website to do that.",offers issue,0.6299534440040588
2025-03-14 22:40:39,1,1,7.2.3,,,7.2.3,Trash app and site as well. Error says invalid user I've travelled several times HOW TF AM I INVALID USER WHEN I TRY TO LOGIN,offers issue,0.857730507850647
2025-03-14 12:33:22,1,5,7.2.3,,,7.2.3,"Very very very bad experience When you install the app and try to sign in There is multiple things you have to gone through , maybe they are giving admission in indigo or maybe they want to make your adhaar card , Why that much details and after giving all that you have to log in again and the fare is too high ... Never never ever download this app.",offers issue,0.5627049207687378
2025-03-13 20:07:04,4,0,7.2.2,,,7.2.2,They improved a lot,offers issue,0.5470396280288696
2025-03-13 17:37:44,3,6,7.2.2,,,7.2.2,"Boarding pass is not available in the app for the second leg of any connecting flight once the first leg of the journey starts. When a Boarding pass is shared to Digi indicator from the indigo app, it shares directly without making a copy on your mobile device.it essentially leaves the customer without any boarding pass for the second flight. And there are no facilities to print a boarding pass in the domestic transfee areas of airports. And they dont let you board a flight without boarding pass",offers issue,0.7986008524894714
2025-03-13 10:23:12,2,1,7.2.3,,,7.2.3,Booking doesn't show up. Spams notifications with ads.,booking problem,0.7865739464759827
2025-03-13 00:18:50,1,0,7.2.3,,,7.2.3,Doesn't recognise correct booking references or passenger details.,booking problem,0.5396016240119934
2025-03-12 21:55:50,1,0,7.2.0,,,7.2.0,"Useless app,very bad",offers issue,0.8204591870307922
2025-03-12 16:17:13,1,0,7.2.2,,,7.2.2,Cant use the app cant log in or anything,offers issue,0.7274715304374695
2025-03-12 16:15:18,1,0,7.2.2,,,7.2.2,Unfortunately not easy app.,offers issue,0.7736951112747192
